                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.191,                 3.1724,                  8.853,                 1.1665,                0.00112,                0.02526,                0.00062,                0.00032,                0.00167,                 0.0376,                0.00092,                0.00036,                 2.0625,                 2.7803,                 3.9995,                 1.2395,             0.00054942,             0.00054942,             0.00054942
                      2,                 2.1006,                 2.5952,                 5.5523,                 1.1838,                0.88685,                0.01808,                0.04446,                0.01653,                0.87205,                0.01939,                0.05333,                0.01948,                  2.269,                 2.7294,                 2.8932,                 1.3769,              0.0010941,              0.0010941,              0.0010941
                      3,                  2.193,                 2.5169,                 3.5278,                 1.2212,                  0.815,                0.02115,                0.04268,                0.01402,                 0.7625,                0.01763,                0.04273,                0.01476,                 2.5726,                  3.363,                  2.508,                 1.5359,              0.0016279,              0.0016279,              0.0016279
                      4,                 2.2058,                 2.4966,                 2.9565,                 1.2312,                0.73123,                0.06522,                0.05682,                0.02201,                 0.7419,                0.07159,                0.07436,                0.02947,                 2.3115,                 2.5325,                 1.9304,                 1.3959,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.1156,                 2.3709,                 2.5215,                 1.1808,                0.05466,                0.04407,                0.04491,                0.01514,                 0.0656,                0.05288,                0.05412,                0.02504,                  2.988,                 183.56,                  3.684,                 3.0116,               0.001601,               0.001601,               0.001601
                      6,                 2.0252,                 2.3331,                 2.1147,                 1.1646,                0.19137,                0.06287,                0.06393,                0.02564,                0.18799,                 0.0658,                0.06893,                0.02973,                 2.2296,                 2.4511,                 2.0216,                 1.3268,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.9222,                 2.1296,                 1.9843,                 1.1245,                0.24217,                0.06522,                0.07303,                0.02783,                0.25037,                0.07051,                0.08826,                0.03731,                 2.3432,                 2.5648,                 2.0305,                 1.3447,               0.001568,               0.001568,               0.001568
                      8,                 1.9393,                 2.0804,                 1.9491,                  1.122,                0.26411,                0.06315,                0.08633,                0.03641,                0.23396,                0.07544,                0.09746,                 0.0443,                 2.1822,                 2.2807,                 1.8399,                 1.3497,              0.0015515,              0.0015515,              0.0015515
                      9,                  1.888,                 2.1148,                 1.8153,                 1.1269,                0.27648,                0.06816,                0.09118,                0.03607,                0.14389,                 0.1168,                0.10259,                0.04669,                 2.2599,                 2.1991,                 1.9207,                 1.3366,               0.001535,               0.001535,               0.001535
                     10,                 1.8257,                 2.0819,                 1.7279,                 1.1037,                0.69425,                0.08696,                0.07583,                0.02888,                 0.6835,                0.08637,                0.08263,                0.03568,                 2.1226,                 2.3234,                 1.7647,                 1.2896,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.7854,                 2.1275,                 1.7046,                 1.0936,                0.80337,                0.07697,                0.10476,                0.04405,                0.77212,                0.08284,                0.11337,                 0.0502,                 2.0625,                 2.1773,                 1.7051,                  1.299,               0.001502,               0.001502,               0.001502
                     12,                 1.8349,                 2.0136,                 1.8137,                 1.1113,                0.22473,                0.06345,                0.06805,                0.02757,                0.23114,                0.06567,                0.07953,                0.03308,                 2.3167,                 2.3708,                 1.9846,                 1.3517,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.8099,                 2.0139,                 1.6545,                 1.1051,                0.19712,                0.09401,                0.06953,                0.02516,                0.22169,                0.10811,                0.09068,                0.03553,                 2.1504,                 2.1686,                 1.5054,                 1.3389,               0.001469,               0.001469,               0.001469
                     14,                  1.732,                 1.9713,                 1.6253,                 1.0958,                0.72358,                0.08813,                0.08044,                0.03018,                0.70435,                0.09871,                0.09169,                0.04004,                 2.1425,                 2.3765,                  1.545,                 1.4121,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.8146,                 1.9015,                  1.599,                 1.1061,                0.23116,                0.06816,                0.08877,                0.03538,                0.07344,                0.13514,                0.08864,                0.03749,                 2.1531,                 2.3141,                 1.8898,                 1.3042,               0.001436,               0.001436,               0.001436
                     16,                  1.731,                 1.9435,                  1.599,                 1.0951,                0.71462,                0.09929,                0.08559,                0.03256,                0.69104,                0.10644,                0.09417,                0.04024,                 2.0574,                 2.2012,                 1.3496,                 1.2776,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.6646,                 1.7871,                 1.5308,                 1.0328,                0.28997,                0.07991,                0.09553,                0.04051,                0.27704,                0.07666,                0.10547,                0.04779,                 2.0807,                  2.237,                 1.7019,                 1.2804,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.7092,                 1.9103,                 1.4626,                  1.055,                0.73409,                0.09812,                0.08697,                0.03512,                0.67726,                0.10693,                0.09793,                0.04167,                 1.9849,                 2.2536,                 1.3385,                  1.242,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.7009,                 1.8339,                 1.4142,                 1.0563,                0.28206,                0.07224,                0.09191,                0.03606,                0.22636,                0.08813,                0.09385,                 0.0402,                 2.1641,                 2.8006,                 1.9319,                  1.281,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.7408,                 1.8237,                 1.4681,                 1.0396,                0.24068,                0.09518,                0.09382,                 0.0358,                 0.1639,                0.09048,                0.07956,                0.03605,                 2.0451,                 2.1508,                 1.3745,                 1.2295,              0.0013534,              0.0013534,              0.0013534
