                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8138,                 1.7669,                 1.8307,                 1.0829,                0.28646,                0.10984,                0.11736,                0.05621,                 0.2569,                0.10204,                0.11078,                0.04887,                 1.6863,                 1.8242,                 1.3329,                 1.0613,             0.00054784,             0.00054784,             0.00054784
                      2,                  2.078,                 1.9242,                 1.8454,                 1.1103,                0.23171,                0.09844,                0.08733,                0.03579,                 0.2194,                0.10564,                0.10574,                0.04824,                   1.93,                 2.1088,                 1.4498,                 1.1392,              0.0010762,              0.0010762,              0.0010762
                      3,                 2.0608,                 2.1337,                 2.1229,                 1.1554,                0.76072,                0.09964,                0.10031,                0.04335,                0.74268,                0.10144,                0.10635,                0.04564,                 1.8772,                 2.1127,                 1.3619,                 1.1382,               0.001577,               0.001577,               0.001577
                      4,                 2.1647,                  2.266,                 1.9802,                 1.1546,                0.51333,                0.08103,                 0.0062,                0.00273,                  0.512,                0.08703,                0.00714,                0.00376,                 2.1766,                 3.2157,                 62.556,                 1.2474,              0.0015432,              0.0015432,              0.0015432
                      5,                 2.1288,                 2.2167,                 2.0499,                 1.1847,                 0.2424,                0.10444,                0.10523,                0.04623,                0.22116,                0.10084,                0.10609,                0.04563,                 1.9366,                  1.928,                 1.3909,                  1.162,               0.001502,               0.001502,               0.001502
                      6,                 2.2459,                 2.2804,                   2.24,                 1.1693,                0.25116,                0.08583,                0.08642,                0.03491,                0.21844,                0.07683,                 0.0803,                0.03762,                 2.0314,                 2.4958,                 1.6691,                  1.242,              0.0014607,              0.0014607,              0.0014607
                      7,                 2.0555,                  2.153,                 1.9262,                 1.1912,                0.27188,                0.09304,                0.10142,                0.04512,                0.26163,                0.09484,                 0.1093,                0.04997,                 1.8531,                 1.7947,                 1.4694,                  1.152,              0.0014195,              0.0014195,              0.0014195
                      8,                 2.0925,                 2.0375,                 1.9803,                 1.1201,                0.26764,                0.11044,                0.11444,                0.04824,                0.23482,                0.10384,                0.10402,                0.04558,                 1.8291,                  1.746,                 1.3617,                 1.1378,              0.0013782,              0.0013782,              0.0013782
                      9,                 1.9656,                 1.9385,                 1.9181,                  1.158,                0.26647,                0.10205,                0.11651,                0.05139,                0.22103,                0.09304,                0.10043,                0.04602,                 1.7966,                 1.7995,                  1.355,                 1.1201,              0.0013369,              0.0013369,              0.0013369
                     10,                 2.0457,                 2.0234,                 1.8874,                 1.1623,                0.26002,                0.09244,                0.10579,                0.04845,                0.24903,                0.09544,                0.11972,                0.05824,                 1.8581,                  1.827,                  1.465,                 1.1853,              0.0012957,              0.0012957,              0.0012957
                     11,                 1.9702,                 1.9302,                 1.8964,                 1.1453,                0.28013,                0.10384,                0.10617,                0.04982,                0.22078,                0.10564,                0.10762,                0.05262,                 1.7603,                 1.7208,                 1.2715,                 1.1437,              0.0012544,              0.0012544,              0.0012544
                     12,                 1.8718,                 1.8315,                 1.8855,                 1.1257,                0.30642,                0.09424,                 0.1094,                0.05388,                0.27074,                0.08643,                0.10758,                0.05031,                 1.6627,                   1.69,                  1.437,                 1.1224,              0.0012132,              0.0012132,              0.0012132
                     13,                 1.8801,                 1.9367,                 1.9031,                 1.1531,                0.27692,                0.10059,                 0.1099,                0.05333,                0.21848,                0.09424,                0.10284,                0.04848,                 1.6539,                  1.893,                 1.2617,                 1.0842,              0.0011719,              0.0011719,              0.0011719
                     14,                 1.9605,                 1.9723,                 1.8208,                 1.0937,                0.24424,                0.10146,                 0.1031,                0.04899,                0.21642,                0.10984,                0.10579,                0.04761,                 1.6798,                  1.784,                 1.2341,                 1.0782,              0.0011306,              0.0011306,              0.0011306
                     15,                 1.9441,                 1.8219,                 1.9377,                 1.0815,                0.25823,                0.10001,                0.10438,                0.05006,                0.22308,                0.09484,                0.09653,                0.04106,                 1.6874,                 1.8297,                 1.4654,                 1.0987,              0.0010894,              0.0010894,              0.0010894
                     16,                 1.8702,                 2.0598,                 1.7286,                 1.1231,                0.26711,                0.10804,                0.10439,                0.04778,                0.25142,                0.10744,                0.10792,                0.04518,                 1.7263,                 1.7867,                 1.3737,                 1.1116,              0.0010481,              0.0010481,              0.0010481
                     17,                 1.8275,                  1.939,                 1.8726,                 1.0764,                0.26734,                0.10624,                 0.1101,                0.05381,                0.23932,                0.09664,                0.10073,                 0.0488,                 1.6666,                 1.7713,                 1.3784,                 1.0742,              0.0010069,              0.0010069,              0.0010069
                     18,                 1.8542,                 1.9069,                 1.8447,                 1.0776,                0.29194,                0.11104,                 0.1214,                0.05581,                0.25203,                0.10444,                0.11843,                0.05168,                 1.7029,                 1.8567,                 1.2749,                 1.1055,             0.00096561,             0.00096561,             0.00096561
                     19,                 1.7962,                 1.8431,                 1.7728,                 1.0683,                0.29173,                0.10804,                0.11861,                0.05725,                0.22568,                0.09784,                0.10434,                0.04811,                 1.7138,                 1.7954,                 1.2383,                 1.0907,             0.00092435,             0.00092435,             0.00092435
