                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     20,                 1.8015,                 1.7439,                 1.8002,                 1.0564,                0.32337,                0.10989,                0.12548,                0.06306,                0.28297,                0.10804,                0.12706,                0.06411,                 1.6025,                 1.6328,                  1.265,                 1.0755,             0.00088309,             0.00088309,             0.00088309
                     21,                 1.7655,                 1.7157,                 1.7548,                  1.076,                0.30016,                0.11285,                0.13058,                0.06801,                0.24209,                0.10444,                 0.1216,                0.05782,                 1.5825,                 1.6736,                 1.1965,                 1.0408,             0.00084184,             0.00084184,             0.00084184
                     22,                  1.687,                 1.6793,                  1.628,                 1.0448,                0.30765,                0.10656,                0.13549,                0.06975,                0.25488,                0.09484,                 0.1237,                0.05854,                 1.5489,                 1.7807,                 1.1753,                 1.0344,             0.00080058,             0.00080058,             0.00080058
                     23,                 1.7172,                 1.7415,                 1.6757,                 1.0442,                0.35481,                0.10561,                0.14904,                0.07978,                0.28616,                0.09364,                0.13562,                0.06923,                  1.522,                 1.6049,                  1.223,                 1.0477,             0.00075932,             0.00075932,             0.00075932
                     24,                   1.76,                 1.6892,                 1.7555,                 1.0415,                0.29998,                0.11044,                0.12516,                0.06688,                0.23937,                0.10804,                0.11589,                0.05635,                 1.5082,                 1.6533,                 1.1371,                  1.021,             0.00071806,             0.00071806,             0.00071806
                     25,                 1.7427,                 1.6694,                 1.6158,                 1.0451,                0.32054,                0.11044,                 0.1322,                0.06884,                 0.2406,                0.09664,                 0.1156,                0.05512,                 1.5127,                 1.6261,                 1.1022,                 1.0258,              0.0006768,              0.0006768,              0.0006768
                     26,                 1.6919,                 1.6615,                 1.6597,                 1.0175,                0.29536,                0.11705,                0.13142,                0.06744,                0.24787,                0.10564,                0.11632,                0.05464,                  1.464,                 1.7367,                 1.1511,                 1.0153,             0.00063554,             0.00063554,             0.00063554
                     27,                  1.672,                 1.7064,                 1.6222,                 1.0428,                0.30349,                0.11585,                0.12008,                0.05971,                0.23339,                0.10384,                 0.1079,                0.04903,                 1.5189,                 1.6434,                 1.0958,                  1.033,             0.00059429,             0.00059429,             0.00059429
                     28,                 1.7003,                 1.6679,                 1.6615,                 1.0425,                0.30565,                0.11825,                0.13113,                0.06738,                0.26562,                0.11585,                0.12604,                0.05858,                 1.5111,                 1.6248,                 1.2134,                 1.0321,             0.00055303,             0.00055303,             0.00055303
                     29,                 1.6721,                 1.7029,                 1.7027,                 1.0245,                0.32644,                0.12305,                0.13914,                0.07518,                0.26675,                0.10864,                0.12995,                0.06258,                 1.4465,                 1.5791,                 1.1676,                 1.0153,             0.00051177,             0.00051177,             0.00051177
                     30,                 1.5712,                 1.7289,                 1.5405,                0.99338,                0.31157,                0.11885,                0.13557,                0.07699,                 0.2695,                0.10984,                0.13624,                 0.0692,                 1.4044,                 1.5408,                  1.074,                 1.0112,             0.00047051,             0.00047051,             0.00047051
                     31,                 1.6163,                 1.6323,                 1.7437,                0.99997,                0.33411,                0.11405,                0.13458,                0.07233,                0.26953,                0.09617,                0.11497,                0.05516,                 1.4644,                 1.6992,                 1.2456,                  1.007,             0.00042925,             0.00042925,             0.00042925
                     32,                 1.5593,                 1.5957,                 1.6607,                 1.0011,                0.34824,                0.11645,                0.14523,                0.07792,                0.28746,                0.10024,                0.12533,                0.06281,                 1.4162,                 1.5096,                 1.1909,                 1.0026,             0.00038799,             0.00038799,             0.00038799
                     33,                 1.5244,                 1.5386,                 1.5039,                 1.0371,                0.32886,                0.11765,                0.13998,                0.07669,                0.27767,                0.10084,                0.12021,                0.05945,                 1.4107,                 1.5869,                 1.1315,                 1.0029,             0.00034674,             0.00034674,             0.00034674
                     34,                 1.5176,                 1.4602,                 1.5961,                0.98361,                 0.3303,                0.11405,                0.14164,                0.08167,                0.27558,                0.10098,                0.13145,                0.06442,                 1.3365,                 1.5321,                 1.1364,                0.99087,             0.00030548,             0.00030548,             0.00030548
                     35,                 1.5274,                 1.5862,                 1.6735,                 0.9856,                0.33967,                0.11765,                0.14311,                0.07687,                0.27974,                0.10444,                 0.1274,                0.06287,                 1.3899,                 1.5226,                 1.0696,                0.98492,             0.00026422,             0.00026422,             0.00026422
                     36,                 1.4752,                 1.5966,                 1.4328,                 1.0121,                0.34261,                0.11765,                0.14543,                 0.0805,                0.28375,                0.10864,                0.13531,                0.06865,                 1.3748,                  1.489,                 1.0816,                0.99054,             0.00022296,             0.00022296,             0.00022296
                     37,                 1.4194,                  1.487,                 1.3801,                0.98732,                0.34868,                0.11885,                0.14755,                0.08388,                0.28891,                0.10504,                0.13288,                0.06752,                 1.3505,                 1.4878,                 1.0615,                0.97813,              0.0001817,              0.0001817,              0.0001817
                     38,                 1.5081,                 1.4755,                 1.5241,                 1.0038,                 0.3502,                0.12005,                0.15097,                 0.0824,                0.27769,                0.10564,                0.13406,                0.06843,                 1.3462,                 1.4822,                 1.1024,                0.98503,             0.00014044,             0.00014044,             0.00014044
                     39,                  1.412,                 1.5107,                 1.4231,                 1.0038,                0.33959,                0.12245,                0.14532,                0.08128,                0.26571,                0.10564,                0.12762,                0.06431,                 1.3222,                 1.4407,                 1.0281,                0.98733,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     40,                 1.5007,                 1.6143,                  1.531,                0.98782,                0.33902,                0.12005,                0.14609,                0.08365,                0.27873,                0.10435,                0.12873,                0.06687,                 1.3301,                 1.4544,                 1.0734,                0.98993,             5.7928e-05,             5.7928e-05,             5.7928e-05
