                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4107,                 3.3031,                 11.062,                 1.2082,                0.00038,                0.02041,                0.00022,                  8e-05,                0.00131,                0.07083,                0.00572,                 0.0023,                 2.1637,                 2.9589,                 4.5994,                 1.2571,             0.00065728,             0.00065728,             0.00065728
                      2,                 2.6558,                 2.9863,                 5.8726,                 1.3085,                0.00082,                0.01921,                0.00182,                0.00118,                0.00165,                0.03842,                0.00234,                0.00127,                  4.179,                   28.9,                 4.6838,                 8.2524,              0.0013108,              0.0013108,              0.0013108
                      3,                 2.7641,                  2.893,                 3.7951,                 1.4043,                  7e-05,                 0.0012,                  3e-05,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0019512,              0.0019512,              0.0019512
                      4,                 2.7529,                 2.9572,                 3.2716,                 1.3797,                 0.3454,                0.02881,                0.02877,                0.01156,                0.35979,                0.03001,                0.03165,                0.00877,                 3.1872,                 10.379,                 3.4554,                  6.805,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.6633,                 2.7897,                  2.586,                 1.4044,                0.31122,                0.13806,                0.09374,                0.03278,                0.27151,                0.12125,                0.09824,                0.03848,                 2.5351,                 2.5323,                 1.7075,                 1.5205,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.6079,                 2.5972,                 2.4719,                 1.2864,                0.30644,                0.11404,                0.09129,                0.03148,                0.30742,                0.14886,                0.10563,                0.04029,                 2.5224,                 3.3428,                  1.975,                 1.5409,               0.001901,               0.001901,               0.001901
                      7,                 2.5201,                 2.4046,                 2.3081,                 1.3342,                0.35048,                0.15606,                  0.134,                0.04778,                0.33661,                0.16687,                0.13145,                0.05081,                 2.2594,                 2.2853,                 1.7026,                 1.3022,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.4377,                 2.3904,                 2.2396,                  1.279,                0.33875,                0.13926,                0.13242,                0.05257,                0.36315,                0.17647,                0.17885,                0.08194,                 2.3079,                 2.0217,                 1.5762,                 1.3214,              0.0018614,              0.0018614,              0.0018614
                      9,                  2.302,                 2.2367,                   2.17,                 1.2518,                0.36753,                0.17407,                0.14567,                 0.0554,                 0.3681,                0.21609,                 0.1828,                0.07511,                 2.2142,                 2.2684,                 1.5129,                  1.293,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.3722,                  2.344,                 2.1438,                  1.264,                0.38847,                0.14166,                0.12949,                0.04315,                0.42332,                0.16206,                0.15794,                0.06115,                 2.4599,                 1.9891,                 1.7941,                 1.3007,              0.0018218,              0.0018218,              0.0018218
